DEBUG [08/19/2024 11:28:56 AM] /usr/local/bin/chakra_converter --input_type PyTorch --input_filename pytorch_et_1_plus.json --output_filename final.1.et
INFO [08/19/2024 11:28:56 AM] Loading PyTorch execution traces from file.
INFO [08/19/2024 11:28:56 AM] Extracting and processing node data from execution trace.
INFO [08/19/2024 11:28:56 AM] total_op: 2129
INFO [08/19/2024 11:28:56 AM] cpu_op: 1884
INFO [08/19/2024 11:28:56 AM] gpu_op: 245
INFO [08/19/2024 11:28:56 AM] record_param_comms_op: 26
INFO [08/19/2024 11:28:56 AM] nccl_op: 13
INFO [08/19/2024 11:28:56 AM] root_op: 2
INFO [08/19/2024 11:28:56 AM] Opening Chakra execution trace file: final.1.et
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 0 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 1 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 2 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 3 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 4 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 5 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 6 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 7 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 8 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 9 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 10 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 11 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 12 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 13 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 14 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 15 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 16 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 17 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 18 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 19 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 20 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 21 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 22 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 23 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 24 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 25 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 26 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 27 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 28 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 29 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 30 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 31 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 32 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 33 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 34 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 35 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 36 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 37 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 38 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 39 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 40 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 41 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 42 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 43 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 44 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 45 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 46 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 47 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 48 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 49 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 50 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 51 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 52 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 53 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 54 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 55 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 56 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 57 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 58 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 59 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 60 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 61 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 62 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 63 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 64 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 65 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 66 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 67 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 68 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 69 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 70 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 71 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 72 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 73 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 74 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 75 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 76 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 77 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 78 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 79 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 80 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 81 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 82 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 83 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 84 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 85 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 86 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 87 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 88 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 89 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 90 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 91 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 92 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 93 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 94 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 95 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 96 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 97 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 98 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 99 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 100 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 101 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 102 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 103 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 104 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 105 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 106 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 107 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 108 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 109 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 110 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 111 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 112 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 113 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 114 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 115 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 116 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 117 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 118 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 119 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 120 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 121 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 122 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 123 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 124 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 125 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 126 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 127 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 128 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 129 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 130 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 131 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 132 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 133 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 134 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 135 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 136 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 137 to Chakra node.
DEBUG [08/19/2024 11:28:56 AM] Converting PyTorch node ID 138 to Chakra node.
